,City,Cloudiness,Country,Humidity,Lat,Max Temp,Wind Speed
505,Niagara Falls,90,CA,79,43.1,28.0,6.93
506,Patamundai,0,IN,64,20.57,82.66,8.86
507,Acajutla,0,SV,89,13.59,70.64,1.92
508,Sur,8,OM,94,22.57,72.31,11.88
509,Batemans Bay,56,AU,51,-35.71,79.0,4.0
510,North Bend,1,US,100,43.41,42.01,5.82
511,Sao Filipe,0,CV,92,14.9,70.64,18.03
512,Cadiz,90,US,74,40.27,36.0,3.36
513,Larap,8,PH,93,14.3,78.92,12.21
514,Tangi,92,PK,99,34.3,44.86,3.6
515,Illapel,0,CL,95,-31.63,57.05,2.37
516,Gizo,40,IL,87,31.8,53.6,9.17
517,Kibakwe,92,TZ,96,-6.71,66.73,3.6
518,Buala,76,SB,85,-8.15,82.88,2.71
519,Pangnirtung,0,CA,25,66.15,-17.43,2.71
520,Millville,90,US,100,39.4,37.99,9.17
521,Karachi,40,PK,49,24.87,69.8,5.82
522,Opuwo,0,NA,83,-18.06,62.72,2.71
523,Gazli,88,UZ,100,40.13,48.77,15.57
524,Aykhal,0,RU,71,65.95,7.51,3.94
525,Maseru,0,LS,45,-29.31,63.58,2.37
526,Zamora,8,ES,97,41.51,39.0,10.31
527,Lanigan,44,CA,66,51.85,-5.28,7.85
528,Kloulklubed,75,PW,69,7.04,82.4,6.93
529,Clyde River,1,CA,77,70.47,-0.41,17.22
530,Klyuchi,20,RU,96,52.25,29.33,4.61
531,Maniitsoq,12,GL,56,65.42,22.81,10.2
532,Zeya,36,RU,54,53.74,26.0,2.93
533,Tondano,40,ID,58,1.3,87.8,6.93
534,Mount Gambier,12,AU,9,-37.83,104.0,18.34
535,Tessalit,0,ML,72,20.2,40.36,4.94
536,Comarapa,24,BO,91,-17.91,49.58,2.59
537,Medea,0,DZ,80,36.27,41.0,2.24
538,Espinosa,36,BR,91,-14.92,64.43,5.84
539,Coihaique,0,CL,54,-45.58,57.2,5.82
540,Soweto,0,ZA,88,-26.22,69.01,1.12
541,San Quintin,12,PH,53,17.54,83.56,6.4
